time,hurs,mrsos,evspsbl
21915.5,79.40791,--,5.21E-05
21945,77.363335,--,5.09E-05
21974.5,79.14309,--,6.46E-05
22005,78.02984,--,4.99E-05
22035.5,74.91322,--,4.81E-05
22066,70.182526,--,6.13E-05
22096.5,72.56768,--,5.59E-05
22127.5,75.84136,--,4.23E-05
22158,72.034096,--,4.50E-05
22188.5,75.34936,--,3.57E-05
22219,75.53003,--,4.74E-05
22249.5,81.895035,--,3.82E-05
22280.5,78.12598,--,6.06E-05
22310,76.60195,--,6.42E-05
22339.5,76.571365,--,6.89E-05
22370,75.28279,--,5.01E-05
22400.5,72.84514,--,5.96E-05
22431,76.09446,--,4.67E-05
22461.5,76.62367,--,4.82E-05
22492.5,71.41424,--,5.21E-05
22523,73.12057,--,4.97E-05
22553.5,71.0463,--,4.95E-05
22584,75.91591,--,4.69E-05
22614.5,77.321724,--,5.76E-05
22645.5,74.1094,--,7.15E-05
22675,78.5339,--,5.03E-05
22704.5,74.88526,--,6.73E-05
22735,75.22205,--,5.63E-05
22765.5,75.84603,--,5.74E-05
22796,75.72181,--,5.58E-05
22826.5,72.80122,--,5.51E-05
22857.5,74.268974,--,4.48E-05
22888,73.24716,--,4.92E-05
22918.5,72.03916,--,5.22E-05
22949,80.77417,--,3.07E-05
22979.5,74.610535,--,6.74E-05
23010.5,82.08853,--,5.30E-05
23040,83.180214,--,6.28E-05
23069.5,80.62404,--,6.16E-05
23100,79.51321,--,5.62E-05
23130.5,76.14157,--,5.41E-05
23161,72.33171,--,5.80E-05
23191.5,70.5825,--,5.98E-05
23222.5,70.60175,--,5.93E-05
23253,70.63886,--,6.37E-05
23283.5,77.801796,--,4.82E-05
23314,74.35679,--,4.43E-05
23344.5,80.38761,--,4.81E-05
23375.5,80.83658,--,5.00E-05
23405,80.10794,--,5.98E-05
23434.5,85.14947,--,4.60E-05
23465,86.78726,--,3.75E-05
23495.5,73.8511,--,6.16E-05
23526,74.35394,--,6.37E-05
23556.5,72.34003,--,4.51E-05
23587.5,71.04452,--,7.26E-05
23618,75.17516,--,4.13E-05
23648.5,71.92532,--,5.40E-05
